"AGR.VI",89.00,"3:06am"
"AMAG.VI",21.90,"3:04am"
"ANDR.VI",45.085,"3:58am"
"ATS.VI",7.39,"3:58am"
"CAI.VI",12.26,"4:06am"
"CNTY.VI",3.658,"3:42am"
"CWI.VI",9.063,"11:33am"
"DOC.VI",37.50,"3:07am"
"EBS.VI",24.65,"4:05am"
"EVN.VI",11.52,"3:23am"
"FLU.VI",59.49,"3:53am"
"FKA.VI",9.00,"8:24am"
"IIA.VI",3.386,"3:59am"
"KTCG.VI",40.135,"3:41am"
"LNZ.VI",43.75,"4:07am"
"218214.VI",81.98,"11:33am"
"POST.VI",35.04,"3:47am"
"OMV.VI",34.94,"4:06am"
"PAL.VI",27.02,"4:05am"
"PYT.VI",6.695,"3:45am"
"RBI.VI",25.385,"4:06am"
"430590.VI",16.40,"N/A"
"ROS.VI",57.00,"3:59am"
"SPI.VI",5.385,"4:06am"
"SBO.VI",73.72,"4:08am"
"SEM.VI",35.975,"4:01am"
"STR.VI",20.77,"3:51am"
"TKA.VI",5.88,"4:04am"
"UQA.VI",8.90,"3:59am"
"VLA.VI",4.521,"3:59am"
"VER.VI",15.56,"4:08am"
"VIG.VI",34.865,"4:08am"
"VOE.VI",34.03,"4:07am"
"WXF.VI",1.72,"3:31am"
"WIE.VI",11.99,"4:07am"
"WOL.VI",18.90,"11:34am"
"ZAG.VI",10.99,"3:58am"
